Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
An der LV hat mir besonders gut gefallen:,Professorin ist in ihrem Fachgebiet eine Koryphäe. Die Themen wurden Schritt für Schritt durchgearbeitet. So kann man die Unterschiede zu den einzelnen Themengebieten gut nachvollziehen.,de,neutral,-0.00025236725923605263
An der LV hat mir besonders gut gefallen:,Die Professorin ist sehr nett und begeistert von dem Stoff.,de,positive,0.9134957958012819
An der LV hat mir besonders gut gefallen:,"Die Vortragende versucht den Stoff der LV sehr gut zu erklären und wenn jemand etwas nicht versteht so versucht sie es dem-/derjenigen so zu erklären dass der-/diejenige es versteht. Sollte man in der LV etwas nicht verstehen, hat man die Möglichkeit in der nächsten Einheit zu fragen oder der LV-Leiterin ein Mail mit der konkreten Frage zu schreiben oder man kann sogar einen Sprechstundentermin ausmachen.",de,positive,0.9965709373354912
An der LV hat mir besonders gut gefallen:,- Vortrag,de,negative,-0.9440320301800966
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Sehr nett, kompetent und hilfbereit.",de,positive,0.9982703249552287
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Man sollte für diese LV ein Tutorium anbieten (viele Studenten sind in dieser LV sehr verloren),de,neutral,-0.0004564211703836918
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die Übungsbeispiele sind meiner Meinung nach mit den Folien nicht lösbar. Deshalb präsentieren sie auch so wenige Studenten.,de,negative,-0.924573183991015
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Man setzt sich innerhalb einer sehr kurzen Zeit mit einem sehr komplexen Themengebiet auseinander. Ein Tutorium wäre sinnvoll und hilfreich, dass man anhand von verschiedenen Beispielen die Theorie weiter veranschaulicht. Ich verstehe natürlich das innerhalb der LV die Zeit zu knapp ist um mehr Beispiele durch zu machen bzw. auf der anderen Seite auch zu Hause vor zu bereiten. Das es keine Beispielsammlung in Form von Lehrbüchern etc. gibt ist verständlich, da im Steuerrecht jeder Fall für sich einzeln zu betrachten und zu beurteilen ist und von verschiedenen Faktoren abhängt.",de,neutral,0.0005322981160134077
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"zu viel Stoff in sehr kurzer Zeit übermittelt, man braucht mehr Lehrveranstaltungszeitpunkten und viel mehr Übungen sowie ein Tutorium.",de,negative,-0.9399067778140306
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Da es ein sehr komplexes und umfangreiches Themengebiet ist, würde ich mir wünschen die LV nicht in so langen Blöcken abzuhalten, da man irgendwann abschaltet und nicht mehr 100% aufpassen kann.",de,positive,0.9148543626070023
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- LV wöchentlich abhalten!,de,negative,-0.9540339829400182
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Verhältnis Stoff zu Beispielen war gut aufgeteilt und Besipiele halfen sehr für das Erfassen des Inhaltes.,de,positive,0.9464299660176039
An der LV hat mir besonders gut gefallen:,Sehr praxisorientiert!,de,positive,0.8215143159031868
An der LV hat mir besonders gut gefallen:,Kompetenter Vortrag von Frau Dr. Kanduth Kristen. Gute Kombination aus Vortrag und Beispielen.,de,negative,-0.0304926335811615
An der LV hat mir besonders gut gefallen:,Es war eine interessante Thematik und Frau Mag.Dr. Kanduth-Kristen hat sich sehr bemüht es verständlich vorzutragen.,de,positive,0.8503014743328094
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Vielleicht nicht unbedingt einen 4h Block auf einem Montag Nachmittag.,de,negative,-0.9392676558345556
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Tw wird veraltete Rechtslage gelehrt,de,neutral,-0.006603442481718957
An der LV hat mir besonders gut gefallen:,Sehr gute und lebendige Vortragsweise,de,positive,0.9969026900362223
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Vortragende hat alles sehr verständlich erklärt und sehr darauf geachtet dass es jeder versteht.,de,positive,0.9994974578876281
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,nimmt sich viel Zeit,de,negative,-0.9600916523486376
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,geblockten Termine,de,negative,-0.9360019322484732
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"tolle Vortragende, super Folien, verständliche Erklärungen",de,positive,0.9973427872173488
An der LV hat mir besonders gut gefallen:,"sehr gute Lehrmethodik, viele Beispiele, ausführliche und nachvollziehbare Erklärungen, Darstellung der Prozesse sehr gut verständlich durch versch. Farben/Formen",de,positive,0.9992195539816748
An der LV hat mir besonders gut gefallen:,"Hervorragende aufarbeitung der Folien. Plakativ, verständlich und übersichtlich",de,positive,0.9992698990972713
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,leider viel zuviel Stoff für einen Kurs,de,negative,-0.9774359511211514
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Teilbereiche der VO sollten nicht zwei geteilt werden. Gastvortrag besser mit dem Stoff abgleichen.,de,neutral,-0.00021287493291310966
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Vielleicht etwas mehr Zeit für die Klausur einplanen - es war etwas wenig Zeit ausführlich über die Beispiele nachzudenken.,de,neutral,-0.051406336948275566
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,ausreichend,de,positive,0.9243156760931015
An der LV hat mir besonders gut gefallen:,lockere Atmosphäre,sv,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Gute Vortrag von Mag. Komarek, viele praktische Beispiele. ",de,neutral,-0.0014346024254336953
An der LV hat mir besonders gut gefallen:,super,ro,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine,fi,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,gute und lustige Aufbereitung des Stoffes,de,positive,0.9965836944757029
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,hohe fachliche Kompetenz des Vortragenden,de,neutral,-2.7198759198654443e-05
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Herr Weitzel hat sich sehr bemüht, denn doch eher trockenen Stoff interessant und lebhaft rüberzubringen, was Ihm durch seine witzige Art auch gelungen ist. Weiter so!",de,positive,0.9269907437264919
An der LV hat mir besonders gut gefallen:,die lockere Atmosphäre bei den Präsentationen,de,neutral,-0.0008353994926437736
An der LV hat mir besonders gut gefallen:,Die ausführliche und verständliche Erklärung des Themengebietes. ,de,neutral,-0.00011626101331785321
An der LV hat mir besonders gut gefallen:,tolle Vortragende,da,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,der Vortrag und die Diskussionen.,de,neutral,-0.007506131660193205
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Der Vortragende vermittelt das Wissen auf kompetente Art und Weise, das doch etwas trockene Thema wirkt dadurch interessanter.",de,neutral,-0.00017824792303144932
An der LV hat mir besonders gut gefallen:,Sehr interessante Themen und immer gut mit Beispielen erklärt.,de,positive,0.9986089607700706
An der LV hat mir besonders gut gefallen:,Die Art des Vortrages des LV Leiters.,de,neutral,-8.46742550493218e-05
An der LV hat mir besonders gut gefallen:,"Aktualität, guter Vortrag, Themen die sonst nicht im Studium vorkommen. ",de,neutral,-0.01411205343902111
An der LV hat mir besonders gut gefallen:,Vortragender hat sich perfekt in der Thematik ausgekannt,de,neutral,0.02755018789321184
An der LV hat mir besonders gut gefallen:,die sprachliche Kompetenz des Vortragenden,de,neutral,-0.0001255165261682123
An der LV hat mir besonders gut gefallen:,- alles sehr einfach erklärt,de,positive,0.9776054676622152
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Gute Fachkompetenz der lehrenden Person,de,neutral,-0.001108263444621116
An der LV hat mir besonders gut gefallen:,der Vortragende kannte sich sehr gut aus und konnte jede Frage beantworten,de,neutral,-0.00016315063112415373
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Vortragsweise und die sehr gute Kompetenz des Vortragenden ,de,positive,0.437432948499918
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Vielleicht öfter machen, dafür aber nicht so lange.",de,neutral,-0.009478463791310787
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"teilweise zu detailliert, besonders das Thema ""Vereine""",de,positive,0.8793409280478954
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,teilweise zu detailliert -> verwirrung,de,negative,-0.9074750654399395
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"vielleicht noch mehr ganz konkrete Beispiele aus der Praxis einbauen, das ist für das Verständnis meist sehr gut und lockert die Theorie auch etwas auf ",de,positive,0.9870900418609381
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,weniger Stoff in Zukunft - zu viel Inhalt für die kurze Zeit!!,de,negative,-0.9260692037642002
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,fällt mir nichts ein,de,negative,-0.9954871379304677
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Evtl. Könnte man die Studenten mehr in den Vortrag einbinden. ,de,negative,-0.9187745489180088
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- Uhrzeit,de,negative,-0.589134931564331
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Blockveranstaltung,sv,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,theoretisch- als auch praxisorientiert,de,neutral,-8.637021528556943e-05
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,85% Anwesenheit bei VO,de,negative,-0.44382597506046295
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Inhalte waren sehr gut gewählt,de,positive,0.9842332452535629
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Aufbau,de,negative,-0.7334294319152832
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die LV das nächste mal viell. auf Freitag legen.,de,positive,0.24095088243484497
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Termin,id,not analyzed,
,,unknown,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,ok,sk,not analyzed,
An der LV hat mir besonders gut gefallen:,theoretisch- und praxisorientiert,de,neutral,-0.00036011217162013054
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Betreuer von Uni und Build waren sehr nett und man konnte sich bei Fragen immer an sie wenden. Die Einheiten vor der Praxisphase waren interesant und hilfreich da man viele praxisbezogene Tipps erhalten hat die man später umsetzen konnte. Aufgrund der wenigen Teilnehmern herrschte eine angenehme Atmosphäre und es konnte auf die beiden Gruppen individuell eingegangen werden. Der Kurs und vor allem die Praxisphase sind mit sehr viel Arbeit und Zeitaufwand verbunden aber man kann wertvolle Erfahrungen sammeln.,de,positive,0.9947962476871908
An der LV hat mir besonders gut gefallen:,Die Praxisphase,de,negative,-0.8172886893153191
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,mehr theoretischen Input und dementsprechend mehrere Termine,de,neutral,-0.008472904097288847
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Es gab etwas wenig Zeit potentielle Geschäftsideen zu sammeln. Die Abgabetermine auf Moodle wurden nicht aktualisiert.,de,neutral,-7.375665882136673e-05
An der LV hat mir besonders gut gefallen:,"Eine der besten LVs die ich bisher besucht habe! Obwohl der Kurs viel Aufwand erforderte, machte er mir wirklich Spaß! Die Atmosphäre im Kurs war angenehm und entspannt, die behandelten Themen waren interessant, praxisnah und wurden immer gemeinsam diskutiert. Da wir eine sehr kleine Gruppe waren, konnte sich jeder in die Diskussionen einbringen. Die Arbeit hat sich gelohnt - ich habe das Gefühl, wirklich was gelernt zu haben! ",de,positive,0.9995160921826027
An der LV hat mir besonders gut gefallen:,Ich habe durch die Arbeit mit Fallstudien und den Bezug zu praktischen Beispielen vieles besser verstanden,de,neutral,-0.00012466858606785536
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Sehr netter, kompetenter Vortragender",de,positive,0.9881538627669215
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Der sehr kompetente LV Leiter ist immer auf Fragen eingegangen und hat Themen so lange besprochen, bis sie verständlich waren. Das fand ich sehr positiv.",de,positive,0.9928402828518301
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Die vielen schriftlichen Ausarbeitungen sind zwar gut fürs Verständnis, jedoch auch (im Vergleich zu anderen Kursen) sehr aufwendig. Ein, zwei Einheiten die den Fokus auf Gruppendiskussion und Mitarbeit legen wären meiner Meinung nach besser gewesen. Hier hätten auch bewusst die Mitarbeitspunkte geholt werden können.",de,negative,-0.9176011234521866
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Keine, bitte genauso weitermachen - es sollte mehrere LVs wie diese geben!",de,neutral,-0.28580033779144287
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Der Kurs war allgemein sehr aufwendig. Jede Woche Gruppenaufgaben erarbeiten und drei von diesen zu präsentieren, kombiniert mit drei Einzelaufgaben zusätzlich war sehr aufwendig, weshalb leider Aufgaben nicht immer genau ausgearbeitet werden konnten, wegen Arbeiten anderer Kurse.",de,negative,-0.7873011380434036
An der LV hat mir besonders gut gefallen:,"Das der Professor sehr viel realistische Beispiele gebracht hat mit dem er auch gleichzeitig die Vorlesung spannender gemacht hat, und man bekam für vieles ein großes Verständnis.",de,positive,0.9854801967740059
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,- Gut und verständlich vorgetragen,de,positive,0.9410741329193115
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Präsentationsunterstützung von slydec.,de,negative,-0.8223029375076294
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"einfache Erklärungen, sehr interessant, ",de,positive,0.9834603844210505
An der LV hat mir besonders gut gefallen:,"Der Prof. war sehr motiviert und hat sich wirklich bemüht uns die Themen näher zu bringen. Bis jetzt die beste Vorlesung, die ich besucht habe. ",de,positive,0.9959969446063042
An der LV hat mir besonders gut gefallen:,die Vorlesung war immer wieder sehr erfrischend und mit positiver Stimmung vorgetragen,de,neutral,9.404645243193954e-05
An der LV hat mir besonders gut gefallen:,"fand ich sehr interessant, haben durch meine Berufserfahrung auch viel Bezug zu den einzelnen Themen, super Beispiele gebracht",de,positive,0.9981192983104847
An der LV hat mir besonders gut gefallen:,DIe Praxis nahen Beispiele.,de,neutral,-0.009704750496894121
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Es wurden viele Beispiele zur Verständniserleichterung vorgebracht. Außerdem fand ich das Slydec ziemlich cool. Die wesentlichen Themen waren wirklich interessant und hilfreich für die Zukunft. ,de,positive,0.9793311804533005
An der LV hat mir besonders gut gefallen:,Die sympathische Art u Übermittlung des Lehrinhaltes. Die positive Grundeinstellung und das fundiete Wissen von Herrn Breitene.. Vor allem aber seine intrinsische Motivation bzgl des Themas. Bravo,de,positive,0.9508026000112295
An der LV hat mir besonders gut gefallen:,Tolle Folien.,no,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,die motivierende Begeisterung des VO Leiters - regt zum denken an...,de,positive,0.9530165381729603
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Eventuell auch Beispiele die nicht so bekannt aber hörenswert sind,de,neutral,-0.007147082593291998
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"extrem viel Lernstoff, schwierig zu wissen, auf was man den Fokus legen soll",de,negative,-0.9858173974789679
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"sehr, sehr viele Folien und teilweise inhaltlich überschneidend",de,positive,0.8794830031692982
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Keine!,de,positive,0.8382654935121536
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Die TU Termine sollten auch in der VO bekannt gegeben werden!,de,neutral,-0.0022421817993745208
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Sehr weitreichender Inhalt,de,negative,-0.8940153159201145
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Leider empfand ich, dass der Vortragende sehr viel von den Folien herunter laß.",de,neutral,-0.008528460748493671
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"ziemlich schwer zu folgen, Folien  unübersichtlich aufgebaut besonders bei den modelen",de,negative,-0.9952325483318418
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Hier wurde ich bemängeln, dass wirklich viel Lernstoff vorhanden war. Und ich würde vorschlagen, eher längere LV-Einheiten zu machen, als kurze und viel zu viele Einheiten. ",de,positive,0.8951145894825459
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Also Lückentexte haben immer einen sehr sehr sehr schlechten Lernerfolg erzielt, mit der Kenntnis zu Lernen das es besser für die Klausur ist alles Wortwörtlich zu Lernen macht keinen Sinn noch einen Spaß. Man lernt eine Vorlesung und kein Gedicht mit ca. 350 Folien, das bezweckt überhaupt nichts. LEIDER",de,negative,-0.9935953444801271
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,-,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- Slydec könnte etwas verbessert werden: (Schriftgröße am Beamer anpassen bzw. vergrößern,de,positive,0.9355240613222122
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"Insgesamt wirklich sympathischer Professor, gute LV vor allem für die Zukunft interessant. Abgesehen von den Kritikpunkten war es alles in allem wirklich super. ",de,positive,0.9990290266578086
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Passt,de,negative,-0.9100937061011791
"Wie nützlich finden Sie das in der Lehrveranstaltung verwendete interaktive Präsentationstool (""slydec"")?","schreibe lieber händisch auf Folien(habe nicht immer Laptop mit), denke aber dass es allgemein eine gut entwickelte Idee für Studenten ist.",de,negative,-0.8806873522698879
An der LV hat mir besonders gut gefallen:,"Man konnte Fragen stellen, die auch gut beantwortet wurden.",de,positive,0.9543637484312057
An der LV hat mir besonders gut gefallen:,"Herr Luef war sehr bemüht, dass alle Studenten ihre Fragen stellen. Er erklärte eine Antwort auch gerne erneut, wenn es noch offene Fragen dazu gegeben hat. Ich habe mich durch den Besuch dieses Tutoriums wirklich sehr gut auf die Klausur vorbereitet gefühlt, da ich all meine Fragen die mir beim Lernen aufgekommen sind, von Herrn Luef verständlich beantwortet bekommen habe.",de,positive,0.9877300821244717
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Man sollte mehr bei der Sache bleiben, auch wenn Personen anwesend sind, die man besser kennt.",de,negative,-0.5659605711698532
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,keine,fi,not analyzed,
An der LV hat mir besonders gut gefallen:,interaktiven Komponenten,da,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Die Lehrperson ging auf die Wünsche der Studierenden ein und war sehr bemüht eine angenehme Atmosphäre zu schaffen.,de,positive,0.9077732600271702
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,Verbindung zwischen theoretischen und interaktiven Unterricht,de,neutral,-0.00042231864063069224
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"evtl keine Abschlussarbeit, sondern wesentlichen Fokus auf das Referat...",de,negative,-0.013999074697494507
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,Herzlicher Umgang und wertvoller Input,de,neutral,-0.004480975214391947
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Frau Dkfm. Mag. Dr. Wdowiak ist sehr sehr freundlich, hat ein riesiges Fachwissen welches sie mit den Studenten teilt und hält dieses Seminar auf eine wirklich interessante Art und Weise. Die Motivation und Begeisterung für das Thema wird von Frau Wdowiak auf die Studenten übertragen!!! ",de,positive,0.8933731354773045
An der LV hat mir besonders gut gefallen:,"Ich muss ein riesen Lob an Fr. Wdowiak aussprechen. Ich habe selten solch eine Lehrperson erlebt, die uns Studenten den Stoff so leidenschaftlich und überzeugend beibringt. Ihre Art und Weise den Unterricht zu führen ist unbeschreiblich! Sie ist nicht nur in ihrem Fachwissen einzigartig sondern schafft es durch ihre Persönlichkeit und durch ihre herzliche Ausstrahlung das Seminar so familiär und interessant zu gestalten, sodass es keine Studenten in unserem Seminar gegeben hat, der nicht interessiert mitgearbeitet hat. Ich hoffe ich werde in Zukunft noch viele Professoren wie Fr. Wdowiak kennen lernen dürfen um von ihnen fachliches und zwischenmenschliches zu lernen. Ein großes Lob an Ihr Institut! Ich bin froh meine Bachelorarbeit bei Fr. Wdowiak schreiben zu dürfen.",de,positive,0.9995837981114164
An der LV hat mir besonders gut gefallen:,Frau Wdowiak ist sehr bemüht und es herrscht ein sehr gutes/entspanntes Gesprächsklima. Jede Frage wird ernst genommen und versucht ausreichend zu beantworten.,de,positive,0.9993378358194605
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,KEINEN EINZIGEN,de,negative,-0.6048835888504982
An der LV hat mir besonders gut gefallen:,Sehr praxisorientierte LV in Kooperation mit interessanten Unternehmen. Anschließende Präsentationen waren sehr aufschlussreich! Ich würde das Format dieser LV unbedingt beibehalten!,de,neutral,0.17618658393621445
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,Im Vergleich zu manchen LV''s mit 4 ECTS war der Arbeitsaufwand hoch.,de,neutral,-3.90749710277305e-06
An der LV hat mir besonders gut gefallen:,Die art und weise wie der Kurs strukturiert war,de,neutral,-0.000956081144977361
An der LV hat mir besonders gut gefallen:,Very interessant topic,en,positive,0.9212531372904778
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Vielleicht waere es besser die Artikel frueher zu bekommen und gleich zu wissen in welcher Gruppe man ist, aber auch den Termin der Praesentation zu erfahren",de,positive,0.14254647493362427
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,None,no,not analyzed,
Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:,"Ein sehr interessanter Kurs, mit vielen aktuellen Ansichten. Ich wuerde es anderen Studenten empfehlen.",de,positive,0.9925736566074193
An der LV hat mir besonders gut gefallen:,- sehr viel praxisbezogene Beispiele,de,neutral,-0.002246260643005371
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Vorträge waren interessant gestaltet, es wurden auch immer Fragen an die Studenten gestellt sodass man zum mitdiskutieren angeregt wurde. Lockere Atmosphäre, detailliertes Feedback zum Referat und was man noch in die Hausarbeit einbauen sollte bzw. worauf man achten sollte. Die Inhalte der LV wurden wirklich sehr gut vermittelt!",de,positive,0.9933770985808223
An der LV hat mir besonders gut gefallen:,*der Gastprofessor!,da,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
,,unknown,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,... eigentlich KEINE!!!!,de,negative,-0.8473861739039421
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Mehr Informationen für die Studenten vor Beginn der LV zB sollten Personen die am ersten Tag ihr Referat haben dies früher erfahren. Prof. Koch gibt Vorschläge was man noch in seine Hausarbeit einarbeiten sollte (gut!) aber 10 Seiten sind dafür zu wenig bzw. man sollte sich entscheiden ob man in der Hausarbeit eher in die Tiefe oder die Breite gehen sollte. Besser wäre meiner Meinung nach in die Tiefe als ""von allem ein bisschen"", dafür müsste man natürlich den einen oder anderen Punkt vernachlässigen",de,positive,0.6530352681875229
An der LV hat mir besonders gut gefallen:,Kooperation mit Karnerta bzw. der hohe Praxisbezug,de,neutral,-0.0004789076920133084
An der LV hat mir besonders gut gefallen:,"- die Chance, seine Ideen vor ""echten"" Geschäftsführern/ Abteilungsleitern präsentieren zu können.",de,neutral,-4.505843207880389e-06
,,unknown,not analyzed,
,,unknown,not analyzed,
An der LV hat mir besonders gut gefallen:,"Praxisnähe, vielfältige Möglichkeit zur Unterrichtsgestaltung beizutragen",de,neutral,-0.00024364452110603452
An der LV hat mir besonders gut gefallen:,Praxisnahe ,so,not analyzed,
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,- der Kurs war für 2 ECTS sehr zeit- und kostenintensiv,de,neutral,-0.005563407554291189
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,"Verglichen mit LV''s wo es 4 ECTS gibt, war der Aufwand doch recht hoch. ",de,neutral,-0.03507867641746998
An der LV hat mir besonders gut gefallen:,"Aufbau, verschiedene Aspekte, unterschiedliche Sichten mehrerer Vortragender, Unternehmensbezüge",de,neutral,-3.4502186281315517e-06
An der LV hat mir besonders gut gefallen:,wurde bereits bei er LV bekannt gegeben,de,neutral,-0.11139881610870361
Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:,wurde bereits bei er LV bekannt gegeben,de,neutral,-0.11139881610870361
An der LV hat mir besonders gut gefallen:,Inhalt und Kompetenz und Art des vortragenden Professors,de,neutral,-3.548010499798693e-05
An der LV hat mir besonders gut gefallen:,"good atmosphere, discussions in the group. students are included in the lecture, not a pure lecture where the lecturer speaks without noticing the students.",en,positive,0.9930010265670717
